image_path,binary_label,crop_source_label,negative_subcategory,source_id,source_name,sha256,original_source_url,creator_author,license,license_url,download_date,split
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1609.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,f06348d8ee798ac1e0571a7d73444a9ee9642ea8c00fa4ba41c369b35b77e084,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1609.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_3ff942b88c48.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,3ff942b88c484bf64f7e68821cedfbd365dbebe6177c2f1f3017a4887d478dc3,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_3ff942b88c48.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_d65ab1f65ea2.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,d65ab1f65ea27d8651aafaaa5d51ef01d4547a6241bb4d3d4bb4f03e5877ed06,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Pepper Green/118_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5057.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,69e27f674b52548b20908fc0d55b0fa4fa1c3d8c97d02bfc8a418401dd3e8c4a,D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5057.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\chilli_cold\healthy\IMG_4190.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,3ed819433c7536d562520004ddc01eca2d260ef8997578986fbd240887b85457,D:\CropDiseaseProject\chilli_cold\healthy\IMG_4190.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-02_plant_parts_nonleaf_418f6b9be65e.jpg,0,non_leaf,plant_parts_nonleaf,SRC-02,Google Open Images V7,418f6b9be65e25ba479fae96459e273b7b7f7ceb8a7c2faeeb447ea12454f115,https://openimages.github.io/v7/validation/SRC-02_plant_parts_nonleaf_418f6b9be65e.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\grape_2024\Black rot\black rot760.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,3dbe6d05c71e80ff25ecdb4a49ac68d58f0f783d76f023658a7dbd315242c3d4,D:\CropDiseaseProject\grape_2024\Black rot\black rot760.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Septoria_leaf_spot\45776444-6428-486a-bb79-c1e1cbde4994___Matt.S_CG 7569.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,3dd819e30cec1144b99e9e9d3e84ffc049089811c51276649e42660793992c50,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Septoria_leaf_spot\45776444-6428-486a-bb79-c1e1cbde4994___Matt.S_CG 7569.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-02_plant_parts_nonleaf_6ad3a239da1c.jpg,0,non_leaf,plant_parts_nonleaf,SRC-02,Google Open Images V7,6ad3a239da1c7c1959c25b991fcad5100bc891ab78abd42734ce5e4256122c0b,https://openimages.github.io/v7/validation/SRC-02_plant_parts_nonleaf_6ad3a239da1c.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5647.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,4d9b022fc0392e86cc9b3828b5ee85287705999dc537f22d3f72095bca905b84,D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5647.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,val
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_bb08d96c43cb.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,bb08d96c43cbb9f00e31ff39aecfa6b5ecaece392805d6d581118055c081784e,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_bb08d96c43cb.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,test
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease482.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,816e69e6669d185f20d89a73705528b88b256a01da93b340c05fcc16691727e2,D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease482.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_d1ce91098fc1.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,d1ce91098fc1b9d74a0532da3ebc53142ffd6d5062824bd356c077e931826d09,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Clay_soil/2714618749.jpeg,Shushanth (Clay Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_3f14bc0a1c51.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,3f14bc0a1c51a91c4862f7d9e35519086818d4e8f9b78496793482c327465624,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_3f14bc0a1c51.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,val
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image457.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,91650b378138aedd0f67198e43abf4587edce257900c67e74ba8d63fc48e0ede,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image457.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-02_plant_parts_nonleaf_4f07cb1ee256.jpg,0,non_leaf,plant_parts_nonleaf,SRC-02,Google Open Images V7,4f07cb1ee256caae44953382349fb1fa00ed7fd16822dd538440c031f37e7f9d,https://openimages.github.io/v7/validation/SRC-02_plant_parts_nonleaf_4f07cb1ee256.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_bc7060a3276f.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,bc7060a3276f0f7ad7e6e4618da5212f45faa495e0708ffb4085d0cf499074d5,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/test/Red_soil/0797673087.jpeg,Shushanth (Red Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,val
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_01f0c5d172c3.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,01f0c5d172c3cef5f0511963f38ab54c8b1847f110f7d503cad9bb58bb4535df,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_01f0c5d172c3.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_40aad8749a07.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,40aad8749a074788de896caba7dcae307c92d80cb78d51b09d87907a3f07923c,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_40aad8749a07.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,test
D:\CropDiseaseProject\grape_2024\esca\esca482.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,46ad77a77f080244966c6f025e6ee553fd8753ec1a53e740aa0e1023e541d3a9,D:\CropDiseaseProject\grape_2024\esca\esca482.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_622.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,12e3bb6c6cc652f3539fb2b6cb5ac55319d4d14b61fe921f6e285aedb5a81e48,D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_622.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_fee9f61e6259.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,fee9f61e6259652c11920d5150ea593b46fdd4eb2235c0ab903fac0e4b4a2333,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/test/Black_soil/0498887007.jpeg,Shushanth (Black Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_fac678ec0cce.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,fac678ec0cce860f6c8878afab03311409b01ffb90c3c71b21481cd0c08d5bbc,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Tomato Cherry Red/192_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_794.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,eaa514839f64e330aa36836a2e6c3b3d90f1ba41f0104a74f2d201931b00f7be,D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_794.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_8b6a41bd98de.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,8b6a41bd98ded7e8a52af9a7d3c4a0034727299e0469b45a71a68c3d861d3858,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Tomato Cherry Red/209_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease115.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,1c896c4cbf2e39d939a0947aefe1582f8688e5421827dab31559017716388fad,D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease115.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,val
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4157.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,e31d65e7987e047d7a3291e92a7102b7c6e23972d547f2d4071b35329c70a916,D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4157.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-02_plant_parts_nonleaf_c1bc6365249a.jpg,0,non_leaf,plant_parts_nonleaf,SRC-02,Google Open Images V7,c1bc6365249a8e1bc71202c2f992237a687797c786103c7be9617f1692a941b8,https://openimages.github.io/v7/validation/SRC-02_plant_parts_nonleaf_c1bc6365249a.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\sugarcane_large\Diseases\Pokkah Boeng\Pokkah Boeng006.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,d76459d5daae1805dcf16ac5833cbce2f567721577450f458b3d157f60a7fbf5,D:\CropDiseaseProject\sugarcane_large\Diseases\Pokkah Boeng\Pokkah Boeng006.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\grape_niphad\Powdery Mildew\Powdery Mildew_224.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,0ff92578a123e698e544e04fe025fd03e9777375ef0bfd6ad7106c88d1469a92,D:\CropDiseaseProject\grape_niphad\Powdery Mildew\Powdery Mildew_224.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Septoria_leaf_spot\cd2cd0c6-bf72-4bfb-9647-58f5358638d4___Matt.S_CG 6020.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,7a84f1cc89c68c0cca3a12442ac3b807a6adc7d75e6e0c354efcfdb4d1a35b54,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Septoria_leaf_spot\cd2cd0c6-bf72-4bfb-9647-58f5358638d4___Matt.S_CG 6020.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5545.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,3c15ee9b58387df41aa012045ac073f867c217c7866e5572ce63eed4184e2c39,D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5545.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_ed75e06d4412.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,ed75e06d4412c4fb6f1b32c9d023f487b7e43684d72a63f5e479a98b13042d29,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Grape White/249_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_ac81f8e24522.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,ac81f8e2452255ff4dfb653f96a24c2528ce1e3e506c99044043c4d1b6175599,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_ac81f8e24522.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image714.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,4883a3688aae6083d3f81f5459a86ea104026997785daa5e78a8d8eb8d7a603e,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image714.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_83c8bc648e60.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,83c8bc648e608c459f90d313313fd5c76caba710e1b26150d6dc8eca9f05aabd,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Tomato 2/151_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (464).jpeg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,8babb0c390b8ebcac7c2b40cecdb39cddf81c039be7e0ee32940d4a47e055b59,D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (464).jpeg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\agri_tools_equipment\SRC-02_agri_tools_equipment_2fa36941b0ec.jpg,0,non_leaf,agri_tools_equipment,SRC-02,Google Open Images V7,25a7aea212879ea64ff8803f3ef2f82f7054cfdcba8d1358e032ba13903293fc,https://openimages.github.io/v7/validation/SRC-02_agri_tools_equipment_2fa36941b0ec.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4445.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,a894526f8c09c2c2a1ee5a5c20c0933dd13c5cb1580ed825cec75f695e0f86ef,D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4445.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_39c13c371328.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,39c13c371328ae1c01e33ea93ca9df6f904c52292b8bf0fa61dd67fa23226e43,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/test/Red_soil/0803490527.jpg,Shushanth (Red Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_661.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,6e28ca54784f0a1d63e290d94a1c2a10b320c2f2780766d0cfb1134571b10eb3,D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_661.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,val
D:\CropDiseaseProject\data\non_leaf_negatives\agri_tools_equipment\SRC-02_agri_tools_equipment_845b634a81f5.jpg,0,non_leaf,agri_tools_equipment,SRC-02,Google Open Images V7,2e9526cdcc9280deacebc87240c17804f52902303bf320eebbdb36865350e6a1,https://openimages.github.io/v7/validation/SRC-02_agri_tools_equipment_845b634a81f5.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,val
D:\CropDiseaseProject\grape_2024\healthy\healthy845.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,03d40b0939de952e4e17a37f49d1457e05613e23c70ffe7986c039eab3b2f128,D:\CropDiseaseProject\grape_2024\healthy\healthy845.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,val
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (453).jpeg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,19bac6e97c9df160ca5e3c820f1a38c6e60fbabd01f405182c62db24a6a607e7,D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (453).jpeg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (17).jpeg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,b19cca20c7d3efb7a691d7496ce9befb1e016a03f21ba9309cb624ef4cc7792e,D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (17).jpeg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_8912f660c327.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,8912f660c3273eb8c61222f04df06375d509f908a8bc0072e8d33a1455416e17,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Tomato 1/190_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_eab15d7d2837.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,eab15d7d28370a8c2497c4e3eae00424157fb7a3f47114e5ee565c5b1e98a62e,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Tomato 2/110_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,val
D:\CropDiseaseProject\grape_2024\esca\esca529.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,330df7bdee721001f914d04d54b3e0c1a88764f3cc6db164af8435cbb62190b1,D:\CropDiseaseProject\grape_2024\esca\esca529.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\buildings_structures\SRC-02_buildings_structures_2f3700296f1f.jpg,0,non_leaf,buildings_structures,SRC-02,Google Open Images V7,2f3700296f1f43f1dd47c7a4081f392f7805866d67600f2388ae35834ef5e793,https://openimages.github.io/v7/validation/SRC-02_buildings_structures_2f3700296f1f.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_480.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,e7fd7aede87c6662739980ac2e019d298b99cd858faa97bf9d75ae4570fb2d61,D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_480.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_dc1815fda0af.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,dc1815fda0afe70cd19ce28095b507d1bba812f58555e41e827df4eb1b1b361b,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_dc1815fda0af.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,val
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5125.JPG,1,Chilli,leaf,SRC-IN-CHILLI,Internal Chilli In-Domain Training Split,caf7ff7edefc1ff8f349ec8bd273646afa175901df3a9c7a9c52a440a40c1775,D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5125.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_2f26b9778837.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,2f26b97788379d464bff7e91e99efa897eb1e4bcdc00aef450d1dc62bc84cbca,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_2f26b9778837.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1272.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,082943fc01bfb3bffa42dbfea974318771b9522253d3c72f9abb1b055ba5c1ff,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1272.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_73b00d1442c9.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,73b00d1442c97ae1d11805b4afaf2318794079b1a5568fbf84271176ffced5e4,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Clay_soil/0512666304.jpeg,Shushanth (Clay Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_210f1824be2e.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,210f1824be2e29e153dde0b68fc84469e748e21f62b7b7b992cd4df49472a0ff,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Grape White/107_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
D:\CropDiseaseProject\grape_2024\esca\esca258.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,c09a44fd33084980c0efb37584197cb93846a2b801275ec71b24a4b291c5b1f2,D:\CropDiseaseProject\grape_2024\esca\esca258.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\buildings_structures\SRC-02_buildings_structures_b885a2dc5a7f.jpg,0,non_leaf,buildings_structures,SRC-02,Google Open Images V7,b885a2dc5a7f95ff7c6a5b775c1026bd27187a1a105e3e6344d9b5e1dd095703,https://openimages.github.io/v7/validation/SRC-02_buildings_structures_b885a2dc5a7f.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_9e536c74d401.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,9e536c74d4019e50d38cecd6302a8d01ba59d8c696140489fb845b62714d57a3,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Alluvial_soil/0260174768.jpeg,Shushanth (Alluvial Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\5f3c91c0-ffa1-4de4-9830-2c7bc5ec3760___UF.GRC_YLCV_Lab 03135.JPG,1,Tomato,leaf,SRC-IN-TOMATO,Internal Tomato In-Domain Training Split,a9e1ec5f47622978fa380cfa3f268b03b6f35f5a62597d4acd2f90ac2c9bbf45,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Tomato_Yellow_Leaf_Curl_Virus\5f3c91c0-ffa1-4de4-9830-2c7bc5ec3760___UF.GRC_YLCV_Lab 03135.JPG,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,val
